,text,misogynous
0,Please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees. SHUT THE FUCK UP.,1
1,Bitch shut the fuck up,1
2,"Dear cunt, please shut the fuck up.",1
3,RT Pls shut the fuck up bitch,1
4,"RT ""when u gonna get your license"" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK",1
5,Bitch shut the fuck up,1
6,ok babies i'll go to sleep ok bitch shut the fuck up,1
7,You are a fucking ugly bitch!shut the fuck up??????????????????????????????????????????????????????you just a ugly bitch!fuck you ??????????,1
8,RT bitch shut the fuck up you're fucking your best friends dad <URL>,1
9,"RT shut the fuck up and come suck my dick """,1
10,ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt,1
11,Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you <URL>,1
12,Shut the fuck up ye little slag,1
13,"Selena has BEEN acting like she'ss the victim all these years, shut the fuck up <URL>",1
14,Shut the fuck up you cunt,1
15,like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!,1
16,"RT ""You too skinny, imma hurt you"" Girl if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare.""",1
17,shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly,1
18,"Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!""",1
19,If women want equailty they should be drafted into war. See how that feels!!!,1
20,charli: fuck you bitch charli: omg why am i so extra wjahjaaj,1
21,Bitch you better be 😂😂 <URL>,1
22,Come on box I show you my cock darling,1
23,Rica gets so much cock in her licked cunt <URL>,1
24,"Say you gon ride, bitch ride",1
25,bitch you a hoe... I do not like yo fish booty ass no fuckin moe,1
26,They call it HB. I’m a hot bitch you a has been,1
27,I kno this bitch pussy smells really bad because she cook steak rice n corn everyday,1
28,Cause you're a Bitch and you love those situations! 🤷🏼‍♂️,1
29,cuf yo boy and yo girl Have you heard ‘pull a bad bitch’ by Reese's stuffed with on #SoundCloud? #np <URL>,1
30,You know you can always block me right ? Or are you an attention whore ? Waiting for your feminist friends to get on line,1
31,And HE HAD ANOTHER GIRL WITH HIM bitch she was shook <URL>,1
32,also this girl tried to twerk me away from barricade FUCK YOU suck my dick!,1
33,"Boo, you sweaty whore",1
34,"Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈",1
35,"Kashdoll said 🗣Yall hoes kill me always want the next bitch issue, bitch you want her life but dont know what she been threw 💯‼️",1
36,Literally just saw a 10 year old girl wearing a shirt with sparkles that said 'doing my best' fucking same bitch where'd you get that😂😂😂👽⚠✖ <URL>,1
37,"But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂",1
38,Wow!! Never seen a woman juggle a big cock like that,1
39,Is it rape if you stick your finger in a bootyhole when they sleep?,1
40,Why did women vote for Trump? bitches will vote for a bitch,1
41,So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch,1
42,my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb,1
43,All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres,1
44,I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️,1
45,Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃,1
46,got these hoes thinking sharing a nigga or being a side bitch is cool 🤦🏽‍♀️,1
47,She probably was using it already before she took it stupid bitch.,1
48,"you fucking slut, daddy wants you to dm him",1
49,ALSO... still laughing at this bitch that my friend Chef brought to DirtyBird... LIKE NO ONE WANTED YOU THERE HOE JUST SO YOU KNOW 😹🤷‍♀️,1
50,"🗣 Tuesday and Wednesday, Thursday and Friday.....I can beat your ass bitch every weekend. 😊🤷🏽‍♀️",1
51,Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... <URL>,1
52,Why #WomenBoycottTwitter? because you act like Ms. Whore.,1
53,"<URL> rape and murdered children what do you expect from the religion of peace and women don't count as human, think",1
54,First of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner,1
55,wow that bitch is tweeting hard like her 'good heart' makes it look like she wasn't involved in the coverup- everybody knows she's a ho!,1
56,Too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain't shit boy,1
57,stupid bitch i hate you,1
58,oh my god okay but i saw this jennie x pretty girl video and bitch i'm—,1
59,Me: h- Lana Del Dey: I’m a dragon you’re a whore bitch,1
60,You are such a lucky slut girl !!!! I envy you 🤤,1
61,Before you sign up to be a side bitch keep in mind that there’s a 99.9% chance of you getting your ass beat. K? K.,1
62,"Never let a girl with unblended shadow, unlined lips, and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all",1
63,You only come around when you want dick.. bitch respect my energy.,1
64,"YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate <URL>",1
65,No bitch this girl annoying,1
66,"Let's have some fun. Let me rape your wallet. You'll watch, stroke &amp; thank me for abusing you like a whore! #Findom #walletdrain #paypig",1
67,"White woman are so quick to claim rape, so how about you black sisters? We rarely heard you!",1
68,"Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager.. 🗣 hoe, I am the store manager so what now? 🤗",1
69,Yo moma ah stupid bitch!!! For having a fake ass son acting gangster on twitter. <URL>,1
70,Excuse me? EVERYONE LIKES IT!!! BITCH IF YOU DON'T FUCK OFF THIS WORLD! What a hoe! 😒,1
71,"No, you suck and the game said you were a slut.",1
72,"'A girl can only be a slut, a bitch, a tease, or the virgin next door.' #QOTD #Horror <URL> <URL>",1
73,"Backstabbing cher hypocritical, NASTY WOMAN and a bitch, bashing my President, who screwed her way to the top.. . . . . <URL>",1
74,...............................'I get to rape beautiful women and that's why I like working on this project.',1
75,Fuck you bitch. I'd fight you if I wasn't pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth,1
76,l don't even know 's that fucking women bitch <PERSON_1>..,1
77,what the fuck 😔😔😔😳😳😳 Travis your a dumb ass bitch Kylie i still love yah girl btw 💕💕😩,1
78,girl lmaooooo bitch I needed a heads up or something 😂😂😂,1
79,This bitch is stupid af. Forcing me to wake up my residents. Like wtf not like I was sitting not doing shit I was doing shit. Stupid ass.,1
80,I miss you more main slut halavyaahhh HHAHAHHAAHAHpatatas!!! 😂😂,1
81,Hey girl if ur still reading my tweets ..... ur a dumb bitch,1
82,"You just have power over men altogether, women are men’s ultimate weakness after all... which is why women are slut… <URL>",1
83,this fake bitch trynna indirect me Hello @ me if ur not a coward hoe,1
84,back too you slut,1
85,I tried to find a gif of Brett Butler calling you a Godless Whore but...well let's just say I didn… <URL>,1
86,Ahhh bitch just the other day you said ' I been having a crush on him since forever' dumb ass hoe give it up he don't want you,1
87,some women love to be whores so don’t have if a pig wanna remove a pig from where he doesn’t belong! We need class,1
88,“Fucking slut. I knew you were cheating on me.” <URL>,1
89,Shut up bitch and suck my cock <URL>,1
90,Telemarketer did same to me called me a whore and said he would rape me. Nice.,1
91,And you all call me a slut. Ha not when close compared to that slut!,1
92,Titties are 😎 but where's your ass bitch,1
93,a bitch about to get pussy punched if she dont buy a new god damn book,1
94,"Boy you look like you rape girls at frat parties, malicious ass racist cunt <URL>",1
95,demi = fat and flop ariana = queen now leave stupid bitch,1
96,I love playing with your ass will you rid my cock and I eat you out <URL>,1
97,"Ovide Mercredi to Paul Schabas, 'Char's a squaw. I attack Indigenous women all the time. No one will notice if you rape her! Rape her!'",1
98,"Really? Some cunt that has Oasis lyrics in her bio is gonna tell me something? Stfu bitch, this cunt is crazy.",1
99,why this big fat ass ugly ass bitch like me 😭 she need to UNLIKE me!!!!! i love dick! tf,1
100,"This ignorant bitch, should know. How many women did she destroy to protect that predator husband? <URL>",1
101,"They are nice. You mean, mean whore",1
102,Girl or not if I saw that I'd knock the cunt out! How dare you hurt a child like that. Fucking sick twisted bitch,1
103,"Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",1
104,You a whore,1
105,I had this girl bite my dick a lil too hard last night,1
