,text,misogynous
0,Fatti trovare te lo do volentieri e ti sborro in bocca,1
1,Tu dovresti ricominciare dai semafori a fare la lavavetri..ma tranquilla tanto il vitalizio ti resterà in gola,1
2,"Amore,sei presentabile? Xchè così via Skype ti faccio conoscere i miei parenti..."" e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona,prendendomi un ""avete già finito di pranzare? beh si,voi al nord siete diversi..."" Dal nord è tutto,a voi...""",1
3,"Salvo poi mandare la culona a Mosca, aummaumm, per farsi dare da Putin commesse multimiliardarie e metterlo in quel posto ai FRATELLI della UE (tra i quali NOI)",1
4,"Vediamo Gentiloni, è ora di finirla di essere servili! Pensiamo al danno che la Francia ci ha fatto con Sarkosy e la culona della Merkel con il bombardamento della Libia",1
5,Che cagna che sei anke io voglio fare pasqua cosi con te mmmmmm,1
6,Bella figa da scopare,1
7,Puttana — ma che cazzo ne sai tu ma la smetti <URL>,1
8,Ti inculo <URL>,1
9,Finalmente di nuovo con la mia polpettona culona coccodrillosa ❤. <URL>,1
10,che puttanone,1
11,Ti scopo la figa,1
12,Mi è piaciuto un video di <URL> 20 MOTIVI PER USCIRE CON UNA TETTONA,1
13,Ah tettona,1
14,Hai visto suoi stories ?la tettona,1
15,"Abbiamo già avuto MONTI,, ed abbiamo visto cosa ha fatto ,, assieme alla Fornero,, servi dell' Europa ,leccaculi della culona e di Sarkozy",1
16,Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.,1
17,Il problema è sorto da quando il premier francese fece assassinare Gheddafi in combutta con il presidente USA e la culona tedesca.,1
18,Marica seguimi ti scopo io troia,1
19,Zitta puttana ti metto i coglioni in gola <URL>,1
20,"#Isola sto rivedendo replica dell'isola. Elena schifosa lurida, ma chiudi la boccaccia Cattiva perfida",1
21,Puttanona Adorata ??,1
22,"perché sei una figa di legno, giusto?",1
23,Tremenda culona rica.. <URL>,1
24,Che tettona?,1
25,"Loro purtroppo hanno dei problemi, tu invece i problemi li hai creati e continui imperterrita a crearli, quando sarà che ti togli definitivamente dai coglioni, rendi il maltolto e vai a vangare??? Sparisci figa di legno!!!",1
26,Non sparire però :) tettona bella,1
27,mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori,1
28,"Grande Laurito. Quindi la Asia Argento ci sta dicendo che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane? E che lei - non da meno- è offesa perchè oltre ad iniezione di carne non ha avuto altro",1
29,Non ho voglia di lasciare il mio lago x farmi 3 ore fino a Malpensa x la mia tettona...Che palleeeeee...,1
30,RT Che troia che sei <URL>,1
31,Ti sborro sulla lingua ... ovviamente,1
32,COME DIVENTARE UN PUTTANONE DA BATTAGLIA!: <URL> tramite,1
33,"#Selvaggilucarelli non sa recitare, non sa ballare, non sa presentare, diciamo che non sa fare nulla e l'unico motivo per cui si trova in tv è perchè è un puttanone che l'ha data a mezzo mondo...",1
34,Che bella pompinara,1
35,Echi se ne frega di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee,1
36,"Qualsiasi cosa possa aver fatto o detto #RaoulBova, #SelvaggiaLucarelli si propone sempre per quello che è: una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show. da lei ricava solo una brutta pubblicità. Peccato. <URL>",1
37,che bella coda di cavalla da tirare mentre ti inculo,1
38,ed io ti inculo carissima GILDA,1
39,Il trucco del perfetto puttanone,1
40,<MENTION_4> ma li sbocchini pe fatte protegge la troia che sei?,1
41,Ti lascio che eri una brava ragazza e ti ritrovo un puttanone #upas,1
42,fIgA dI lEgNo,1
43,"scrivimi in dm se vuoi essere sottomessa, troia",1
44,complimenti cara signora che gran bel culone . Tutto da leccare e succhiare . Mmmmm,1
45,"Ma che c'entra il sessimo? Se dico che Weinstein è un puttaniere porco e maniaco sessuale va bene, ma se dico che Selvaggia Lucarelli è un puttanone è sessismo?",1
46,"Se scrivi che Weinstein o Trump sono dei porci e dei maniaci tutti applaudono, ma se dici che Selvaggia Lucarelli è un puttanone sei sessista...",1
47,Che tettona,1
48,"Ma basta co sta dieta.. Metti su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee... Ai maschi piace palpareeeee....",1
49,sei una figa fantastica ti scoperei volentieri,1
50,Splendida pompinara. Sborrooooo,1
51,Se vai a nanna sereno ...... è meglio!Buonanotte da quella culona della Momi,1
52,Ci mancava solo lo scandalo col puttanone cubano... #Emigratis,1
53,Gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette,1
54,//non mi ami? Che puttana che sei,1
55,La culona è una grande Paracelsus falsa e ignorante da far paura!!!,1
56,Quanto ti scoperei,1
57,Buongiorno...grazie e buon martedì anche a te splendida tettona,1
58,<MENTION_4> Buongiorno bella tettona,1
59,<MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> Buongiorno bellissima tettona,1
60,"Come ho già dett,o se si da del puttaniere, porco maniaco a Weinstein tutte le donne applaudono (comprese quelle che lo hanno opportunisticamente sfruttato). Se invece si da del puttanone a #SelvaggiaLucarelli che voelva fare sesso con Siffred",1
61,Guardala qua il puttanone ???? <URL>,1
62,quando vuoi ti sborro ovunque...,1
63,"Ho fatto i masters puro io a Tele'me so'ngroppato a fidanzata de quer frocione de He Man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso",1
64,"ho una bionda tettona che mi stalkera, è sempre la stessa ma inspiegabilmente cambia sempre nome.",1
65,"Da curare saranno loro, la culona, che ne dite di ina bella TSO? <URL>",1
66,"RT DONNA SCHIAVA ZITTA E LAVA, la cosa più soddisfacente della mia vita <URL>",1
67,che bel culone da sfondare...sei una gran porca da usare a piacimento e riempire di sborra,1
68,la prossima volta chiama me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto,1
69,Quella era compresa e sottointesa sennò i wurstel sappiamo noi dove metterli a sto crucchi iniziando dalla culona!,1
70,Utente non trovato. La psicopatica si starà mangiando il telefono per quanto le riderà il culo. Sta stronza!,1
71,Ti inculo,1
72,ciao seguimi ti sbatto io come una cagna mentre il.cornuto guarda,1
73,A chi l hai dedicata alla troia che ti scrive ti amo e sottomessa a quello che vuoi te,1
74,Donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????,1
75,#isola FUORI LA CULONA <URL>,1
76,Ti sbatto il cazzo dentro la figa vicino al numero,1
77,"Un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un PIRLA che ha venduto il culo ....dei GRECI. tre shithole. <URL>",1
78,ciao tesoro buon pm un bacio ? sempre più figa ti scoperei,1
79,"Caro #PD , con la tua strategia da duri e puri assomigli a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima.",1
80,e poi la culona a il coraggio di criticare.,1
